Year,Hybrid,intercept,density,density.2,YE,YE.density,R.squared,min,max,YE_Range,Plot_Num,Site_Num,Plot_Num_too_small,Site_Num_too_small,YE_Range_too_small,POS_density_density,NEG_Yield,R_squard_too_small
2017,DKC4069,-4.577099795,0.190195852,-0.001595681,0.106293574,0.01007201,0.766598789,4.72134335,15.26788634,10.54654299,69,5,N,N,N,N,N,N
2016,DKC4069,-5.729575892,0.160733931,-0.001015546,0.608296076,0.004242743,0.883930113,4.181691966,15.09361262,10.91192065,114,9,N,N,N,N,N,N
2017,DKC4670,0.50336761,0.084195497,-0.001055897,0.229091826,0.009377027,0.814922143,4.827461971,15.8773416,11.04987962,105,7,N,N,N,N,N,N
2016,DKC4670,-6.079289821,0.126594937,-0.000640285,1.028425794,0.000274531,0.816700967,4.235448876,15.0902865,10.85483762,123,10,N,N,N,N,N,N
2017,DKC5031,-2.207945263,0.061521623,-0.000264655,0.817558997,0.00131587,0.884011741,3.029901717,16.317589,13.28768729,85,7,N,N,N,N,N,N
2016,DKC5031,-3.319147238,0.122003596,-0.000841093,0.710440111,0.003351006,0.895696487,4.345232208,14.98970323,10.64447102,110,8,N,N,N,N,N,N
2016,DKC5068,-1.209064217,0.086053465,-0.000521169,0.697655083,0.00156715,0.759702964,4.322073101,16.17829503,11.85622193,115,9,N,N,N,N,N,N
2017,DKC5068,-0.457164274,0.060439707,-0.000497976,0.612223281,0.00374854,0.812139864,3.040958124,16.06782802,13.0268699,80,7,N,N,N,N,N,N
2017,DKC5362,-6.817117554,0.140000477,-0.000511082,1.049507631,-0.001770985,0.90438687,3.027586039,16.26795372,13.24036768,60,6,N,N,N,N,N,N
2016,DKC5362,-3.919432592,0.128955105,-0.000903738,0.707132174,0.003508788,0.905382053,4.376591388,15.02324102,10.64664963,109,8,N,N,N,N,N,N
2016,DKC5830,0.659052308,0.05086781,-0.000400949,0.705788898,0.002173574,0.756123146,4.315961929,15.0094641,10.69350217,117,9,N,N,N,N,N,N
2017,DKC5830,-2.872289603,0.07260123,-0.000486153,0.841551919,0.002449429,0.88604632,3.021892892,16.31637726,13.29448437,110,9,N,N,N,N,N,N
2017,EQ3472,-18.04069553,0.290575063,-0.001015402,1.217971307,-0.002722268,0.869952784,13.8109997,19.73723487,5.926235177,30,5,N,N,N,N,N,N
2016,EQ3472,1.430658376,0.026945257,-0.000177136,0.696493921,0.00186307,0.903918333,13.4788899,24.61837103,11.13948113,59,6,N,N,N,N,N,N
